SeisThick(m),Devonian(m),Wabiskaw(m)
0.914,216.826,359.132
1.088,214.103,360.463
0.988,202.854,348.197
0.956,179.847,311.169
0.792,172.354,305.98
0.859,166.4,319.731
1.171,170.468,342.842
1.267,151.514,315.242
1.002,152.525,296.885
0.988,151.071,292.852
1.335,150.71,288.983
1.387,130.719,269.387
1.423,129.378,263.013
1.21,136.555,262.04
1.218,150.594,270.101
1.487,153.67,256.932
1.208,162.694,248.624
1.113,176.483,240.552
1.147,145.463,219.484
1.308,141.103,233.658
1.639,142.281,243.62
1.633,132.728,251.324
1.796,122.036,257.418
1.986,107.088,268.309
2.374,102.868,297.771
2.508,86.087,318.053
2.225,68.183,320.384
1.991,73.764,343.511
1.766,73.66,344.237
1.733,67.653,351.369
1.887,63.581,357.934
1.602,86.436,361.157
1.33,109.306,371.771
1.31,125.235,372.64
0.866,139.674,362.819
0.787,138.682,344.848
0.678,148.397,307.441
0.393,143.231,301.914
0.554,141.282,304.521
0.699,137.201,302.555
0.637,125.219,226.203
0.875,124.356,231.948
0.976,124.536,242.88
0.729,118.38,247.178
0.806,141.956,250.394
0.805,162.744,264.389
0.815,169.313,269.743
0.747,174.428,278.985
0.725,197.622,279.914
0.877,203.457,318.619
0.858,213.132,351.691
0.885,219.398,352.364
1.216,229.553,360.759
1.114,239.469,357.104
1.209,235.726,327.137
1.423,230.4,341.498
1.269,224.647,350.614
1.07,223.438,332.458
1.235,211.654,293.12
1.433,210.797,323.108
1.142,205.523,297.913
1.172,186.905,278.475
1.335,205.996,282.08
1.106,207.117,275.007
1.13,189.196,289.469
1.079,192.929,297.275
0.98,193.071,295.007
0.848,210.745,295.365
1.017,211.071,313.117
0.858,205.758,298.938
0.588,217.581,287.228
0.563,216.36,282.191
0.678,217.401,294.885
0.676,220.34,295.159
0.88,216.803,309.55
0.864,219.933,303.741
1.413,215.715,321.709
1.144,215.94,326.125
1.403,209.989,324.214
1.607,205.801,305.736
1.905,181.632,290.577
1.778,167.899,282.691
1.835,152.265,269.335
1.833,134.238,264.631
2.142,127.516,284.089
1.634,113.778,281.501
1.67,110.157,283.917
1.105,119.281,265.303
0.924,143.422,274.942
0.757,133.816,270.933
0.795,124.213,261.546
0.706,86.02,251.645
0.867,86.002,253.455
0.867,86.3,240.685
0.825,107.282,247.599
0.925,146.321,266.545
1.11,175.961,280.335
1.164,166.599,266.522
0.985,148.488,262.643
1.248,158.763,248.823
0.947,169.819,255.517
0.841,168.683,257.892
0.682,156.607,264.625
0.64,152.306,274.082
0.648,153.225,291.899
0.672,143.333,300.641
0.656,129.586,269.013
0.431,97.298,255.091
0.55,108.798,253.723
0.525,128.08,253.603
0.599,140.72,250.107
0.793,154.236,269.808
0.877,155.35,280.793
1.111,167.595,264.789
1.147,176.199,265.347
1.242,205.329,267.64
1.905,217.801,273.79
1.64,215.515,276.097
2.173,212.7,274.872
1.883,206.125,262.096
2.206,198.373,260.162
1.787,206.3,264.387
1.946,209.389,276.289
1.92,213.802,289.438
1.923,213.532,288.25
1.639,217.456,290.895
1.512,212.088,286.109
1.162,205.288,273.617
1.419,197.608,280.761
1.335,191.799,283.483
1.277,177.413,309.69
1.466,163.304,322.669
1.842,152.426,345.481
2.372,137.358,343.213
1.957,136.92,334.5
2.377,115.078,330.786
2.184,138.005,334.512
2.33,137.024,309.091
1.959,109.568,324.159
1.846,130.686,344.957
1.099,114.483,319.804
0.86,109.261,317.82
0.684,124.123,335.828
0.657,144.231,331.121
0.547,125.524,314.959
0.609,141.487,318.663
0.749,152.618,335.059
0.87,174.837,344.146
1.011,176.773,344.781
1.142,185.916,341.804
1.13,172.323,299.591
1.226,166.271,286.166
1.193,184.259,272.337
1.671,200.568,285.715
1.845,203.1,276.913
1.601,208.077,283.091
2.137,206.35,288.697
2.179,205.939,284.914
1.842,208.395,273.753
1.82,210.616,265.357
1.889,205.945,255.414
1.448,211.886,255.072
1,198.15,244.748
1.129,211.27,249.345
1.111,223.055,257.532
0.879,219.579,261.005
1.176,219.238,267.589
1.287,205.186,266.198
0.875,189.935,289.353
1.026,189.138,297.346
0.714,183.837,275.039
0.524,183.66,309.207
0.656,183.973,321.071
0.462,177.255,313.563
0.523,191.315,329.639
0.321,199.782,324.863
0.559,199.065,349.884
0.687,193.744,337.296
0.868,208.61,335.962
1.108,219.346,332.519
1.343,229.087,328.904
1.395,229.393,330.983
1.339,217.474,318.646
1.415,215.295,324.757
1.172,211.156,308.893
1.183,210.53,308.872
1.158,224.397,349.937
0.94,228.769,357.105
0.891,228.55,365.814
0.683,228.56,363.452
0.644,230.924,365.073
0.874,241.215,362.563
0.833,228.024,351.786
0.783,215.439,351.801
0.708,218.073,364.103
0.692,215.879,362.273
0.881,218.696,368.767
0.941,217.883,371.796
0.689,215.289,351.944
0.575,216.505,353.644
0.776,219.754,352.234
0.756,213.161,328.94
0.861,207.732,319.24
0.813,187.339,326.36
1.066,184.541,333.138
0.91,162.269,326.328
1.14,158.693,312.198
1.157,140.811,306.954
1.296,130.051,280.126
1.367,149.56,275.26
1.339,143.361,283.282
1.634,133.817,270.01
1.466,122.376,255.258
1.242,134.766,254.328
1.507,144.469,261.51
1.238,152.424,249.084
1.125,166.113,240.359
1.191,170.642,227.646
1.246,165.832,217.598
1.336,157.383,227.459
1.647,170.159,250.199
1.83,143.864,269.71
1.87,142.817,261.612
2.174,139.608,273.808
2.376,126.215,299.311
2.615,117.096,345.581
2.484,86.051,352.032
2.378,79.569,358.854
2.372,81.651,366.305
2.345,64.059,372.006
1.71,81.058,362.75
1.337,65.766,365.369
1.252,95.381,369.789
1.125,118.481,373.335
1.008,114.112,372.912
0.943,145.134,367.654
0.796,137.683,361.844
0.638,134.406,350.095
0.536,130.575,326.006
0.451,115.137,313.087
0.754,127.911,208.336
0.881,135.677,229.94
1.088,125.426,235.106
0.781,124.405,240.48
0.836,121.668,248.75
0.839,142.862,258.274
0.925,166.168,284.063
0.933,173.075,327.11
0.841,202.717,337.895
0.785,211.986,345.435
0.829,220.078,352.5
0.893,224.407,335.982
1.152,230.417,344.106
1.323,231.914,329.769
1.066,230.973,326.656
1.041,230.139,334.858
1.086,229.799,319.729
1.137,224.35,302.928
1.105,217.592,299.456
1.223,217.692,288.913
1.109,196.039,285.05
1.291,193.593,273.419
1.29,197.559,293.329
1.068,205.228,273.891
1.125,193.11,272.179
1.141,193.587,295.927
0.922,193.886,305.433
0.796,190.324,299.462
0.858,205.847,295.855
0.65,204.05,292.489
0.564,211.993,267.266
0.614,210.362,272.455
0.655,220.165,292.974
0.825,223.138,309.442
0.808,212.166,307.984
1.081,221.527,307.119
1.222,216.899,313.849
1.175,210.25,328.247
1.336,200.343,305.59
1.913,190.794,287.938
1.745,188.172,275.904
2.139,171.983,274.147
1.677,162.475,268.818
2.334,144.678,258.83
1.608,124.026,265.279
1.763,130.489,285.766
1.318,116.997,268.747
0.771,96.853,243.294
0.814,113.445,260.122
0.744,109.836,254.102
0.777,102.934,263.975
0.641,101.1,269.023
0.814,106.88,262.42
0.832,94.27,249.017
0.877,129.437,253.88
0.878,140.654,249.362
0.952,151.994,258.033
1.146,148.447,261.875
0.993,157.99,253.705
1.023,173.974,257.543
0.777,151.443,243.934
0.787,165.924,257.305
0.736,153.39,271.269
0.722,166.257,291.922
0.712,166.191,295.845
0.771,152.039,298.433
0.743,120.853,267.693
0.587,115.1,263.292
0.511,107.7,270.493
0.562,109.478,261.915
0.659,125.572,268.49
0.759,140.669,253.683
1.003,130.304,247.68
1.02,150.179,249.022
1.271,166.318,256.945
1.583,183.898,261.864
2.321,208.923,284.048
2.105,215.69,287.028
1.856,216.295,272.126
1.94,206.434,264.626
2.01,198.274,257.463
1.913,201.987,265.294
1.414,211.294,277.679
1.461,204.702,274.946
1.935,207.327,298.757
1.634,213.193,309.53
1.67,205.819,316.688
1.366,191.175,287.476
1.142,178.827,277.746
1.267,183.916,289.164
1.433,166.127,305.183
1.164,151.702,302.998
2.027,153.029,346.547
1.932,142.455,319.657
2.346,145.557,342.005
2.352,145.523,347.198
2.1,120.449,319.213
1.976,119.663,304.752
1.611,110.039,325.869
1.295,113.592,324.517
0.945,106.328,312.436
0.804,109.033,308.933
0.738,114.848,291.408
0.637,130.246,300.397
0.629,134.032,285.238
0.563,152.626,319.155
0.972,173.617,344.628
0.838,176.799,320.893
0.882,175.949,309.277
1.14,183.874,299.861
0.872,181.127,285.046
1.068,174.409,283.084
1.306,177.357,279.627
1.64,197.099,290.566
2.288,207.821,282.913
2.142,215.954,283.709
1.936,197.945,263.656
2.099,206.346,268.134
2.337,218.056,265.324
2.14,219.707,261.085
1.662,209.185,251.107
1.43,205.303,248.855
1.145,205.368,244.883
1.053,204.059,247.303
0.909,209.958,250.584
1.096,218.218,261.358
0.99,213.632,261.252
1.071,205.528,273.843
0.747,190.661,280.542
0.728,191.671,300.508
0.554,188.471,306.495
0.528,184.756,310.991
0.429,175.562,308.888
0.407,176.609,294.963
0.467,193.425,331.777
0.561,198.371,343.565
0.586,197.941,353.414
0.7,191.405,322.305
0.813,192.476,319.728
0.883,202.879,282.83
1.301,217.479,290.41
1.446,225.442,322.21
1.751,212.959,323.591
1.419,210.369,316.976
1.639,215.243,311.495
1.067,211.882,321.437
0.933,218.973,342.797
0.963,226.654,361.726
0.753,230.778,354.794
0.706,229.195,358.664
0.725,238.861,361.285
0.809,241.992,362.792
0.688,240.29,359.552
0.667,230.519,360.043
0.649,220.188,364.25
0.748,209.415,364.188
0.771,220,370.701
0.879,219.306,367.82
0.707,216.811,362.79
0.819,215.396,340.69
0.715,219.131,314.129
0.678,218.885,308.886
0.686,208.565,317.657
0.676,191.614,308.113
0.881,182.381,303.193
1.039,165.127,294.975
1.223,152.537,304.267
1.337,146.345,305.109
1.341,133.283,298.407
1.247,124.658,286.329
1.796,135.655,282.655
1.426,133.751,271.934
1.062,136.953,245.995
0.998,143.051,243.919
1.274,152.458,247.173
1.247,158.625,243.007
1.021,163.295,240.407
1.223,181.244,233.262
1.104,186.821,234.549
1.161,174.949,227.383
1.452,170.646,232.079
1.518,166.979,264.991
2.258,175.698,275.925
1.958,153.203,296.279
2.373,138.977,308.938
2.35,115.556,329.172
2.335,90.85,351.725
2.467,89.156,362.949
2.375,86.003,380.731
1.984,64.363,362.737
1.623,63.426,363.655
1.602,85.26,376.56
1.24,70.31,378.127
1.222,107.667,380.064
1.017,113.966,378.193
0.88,134.309,376.265
0.762,130.218,374.258
0.617,115.49,349.684
0.584,118.428,347.566
0.63,139.489,349.118
0.988,137.766,243.857
1.017,115.477,232.372
1.261,109.155,240.082
1.253,124.644,265.438
1.242,137.964,273.707
0.956,150.968,275.995
1.095,159.246,297.185
1.108,181.969,321.24
0.851,203.284,335.251
0.914,214.148,352.576
1.032,227.617,348.449
0.845,226.387,330.617
1.022,234.648,320.22
1.148,233.255,326.126
0.921,233.053,320.747
0.856,229.181,311.06
1.07,231.883,319.385
1.122,216.8,308.254
0.968,214.814,283.486
1.308,215.799,303.098
1.296,202.077,282.519
1.291,209.486,283.943
1.142,208.164,294.215
1.105,211.123,274.252
1.098,198.228,262.029
1.32,191.417,267.279
0.959,183.307,283.75
0.767,185.435,280.504
0.922,198.899,308.886
0.805,190.372,283.606
0.766,208.937,289.879
0.708,213.819,289.187
0.64,215.96,319.859
0.646,214.918,297.302
0.811,214.426,303.824
1.197,211.955,307.04
1.317,207.863,302.927
1.425,208.675,334.76
1.583,204.142,325.234
2.141,190.692,297.831
1.845,174.513,270.395
1.663,152.317,261.466
1.498,130.161,258.028
1.647,144.257,256.66
1.736,130.64,262.249
1.57,124.832,269.448
1.149,101.967,257.321
0.796,86.956,257.858
0.771,89.354,262.069
0.919,87.143,260.819
0.975,89.685,263.181
0.88,130.002,289.423
0.865,108.203,268.97
0.958,125.496,249.1
0.912,144.82,249.398
0.946,134.403,255.06
0.786,147.202,257.463
0.888,152.521,265.691
0.806,169.434,255.987
0.809,146.304,244.856
0.711,145.385,247.348
0.807,152.455,256.013
0.694,163.395,275.369
0.582,161.752,284.429
0.65,155.331,283.115
0.68,139.376,274.43
0.752,142.793,280.591
0.638,131.834,271.933
0.539,127.222,279.987
0.678,131.905,283.654
0.836,137.653,269.772
0.888,143.661,267.411
1.15,138.572,262.331
1.412,142.393,258.82
1.626,156.264,261.64
1.829,188.017,264.473
1.677,198.232,269.784
1.646,205.323,251.662
1.976,208.99,254.683
2.098,212.541,265.596
2.326,206.025,248.76
1.808,205.819,257.948
1.457,213.15,269.576
1.476,208.182,276.034
1.906,203.459,328.523
1.953,199.577,320.374
1.683,190.954,304.119
1.579,187.186,303.298
1.506,182.666,300.508
1.346,158.525,269.692
1.609,155.201,303.389
1.512,143.303,298.783
1.637,153.106,325.422
2.001,144.487,323.299
2.104,145.418,335.396
2.355,148.5,353.201
2.14,132.369,318.919
1.584,112.415,298.766
1.228,115.282,309.898
0.882,116.383,304.998
0.681,118.204,305.844
0.645,109.496,308.883
0.562,128.147,300.356
0.399,130.618,285.516
0.505,130.802,285.319
0.519,152.473,291.112
0.799,162.696,308.418
0.639,162.103,283.502
0.879,161.972,276.14
0.881,175.232,274.85
0.865,187.216,282.884
1.326,176.82,282.668
1.313,180.908,290.043
1.639,198.02,280.126
2.372,212.172,298.139
2.334,209.383,276.647
1.854,206.872,253.582
1.877,211.93,258.191
2.144,216.843,256.956
2.151,211.922,264.113
1.639,209.901,256.402
1.575,202.6,247.36
1.627,201.332,246.932
1.066,195.897,246.302
0.954,197.957,248.932
0.975,207.245,249.264
0.984,203.602,261.428
0.993,208.003,272.796
0.814,206.238,299.747
0.72,187.117,277.321
0.55,181.03,297.91
0.508,177.678,292.143
0.408,180.819,307.664
0.322,169.108,291.633
0.348,184.252,310.789
0.474,196.353,328.202
0.624,188.142,352.089
0.56,186.409,329.409
0.791,178.113,289.414
0.931,192.385,300.396
1.069,191.922,292.214
1.368,191.883,284.357
1.58,197.889,306.847
1.496,198.022,310.606
1.309,205.561,325.405
0.958,209.434,312.858
0.966,209.048,329.823
0.817,215.206,318.171
0.76,228.39,320.731
0.808,230.01,339.639
0.665,238.819,367.691
0.637,245.808,368.299
0.684,250.408,367.765
0.633,231.057,354.501
0.645,218.884,356.93
0.659,218.82,369.148
0.816,218.845,370.234
0.741,219.08,361.074
0.739,219.633,363.774
0.707,222.211,337.507
0.828,217.356,308.995
0.778,229.262,309.435
0.847,218.493,324.885
0.824,202.847,309.604
0.682,174.322,282.957
0.878,174.629,283.93
0.981,153.077,290.062
1.005,158.927,297.795
1.282,124.629,284.676
1.235,115.161,269.639
1.174,116.547,280.299
1.378,137.755,261.56
1.219,153.51,248.009
1.21,145.803,254.583
0.909,157.67,242.853
1.002,152.432,235.698
1.167,173.121,235.643
0.96,176.346,219.427
1.396,205.768,239.513
1.126,198.634,240.489
1.312,190.771,237.077
1.463,190.22,261.115
1.532,181.069,274.899
1.64,181.635,295.683
2.137,158.911,320.008
2.377,127.506,353.266
2.377,89.875,358.464
2.644,86.009,369.882
2.349,69.027,374.745
2.209,63.287,379.41
1.514,59.837,366.103
1.223,68.202,373.678
1.21,85.183,377.263
1.066,87.16,392.797
1.004,102.715,377.007
0.757,109.111,365.373
0.74,104.443,378.262
0.759,117.419,379.491
0.621,138.145,364.14
0.647,130.059,361.182
1.018,133.978,233.383
0.97,134.544,227.595
1.146,134.438,248.814
1.262,125.681,257.934
1.416,145.014,269.412
1.49,160.79,287.774
1.445,165.641,289.923
1.61,185.258,317.193
1.224,190.717,343.687
1.171,215.043,355.331
1.252,211.577,344.237
0.959,229.06,344.354
0.838,224.839,329.538
0.833,226.794,320.078
0.744,227.761,298.019
0.874,223.342,319.81
0.875,219.09,319.876
1.032,218.323,320.362
0.915,205.479,301.594
1.023,199.544,283.394
1.03,198.011,285.879
1.238,190.627,283.31
1.027,204.575,278.306
1.112,200.779,269.728
1.259,197.756,268.806
1.303,180.401,255.67
0.942,177.465,262.097
0.825,176.454,270.064
0.922,198.627,291.024
0.858,190.607,280.718
0.864,204.535,290.141
0.793,216.001,290.456
0.858,214.733,300.518
0.834,216.896,309.806
0.887,211.1,310.502
1.263,206.185,323.414
1.225,206.805,328.342
1.406,204.316,349.214
1.59,193.041,302.516
2.046,194.08,307.011
2.08,171.053,273.203
1.623,164.576,266.771
1.341,134.636,250.42
1.517,127.349,254.455
1.585,128.152,265.334
1.389,134.197,265.294
1.282,138.527,286.19
1.087,123.993,265.669
1.12,86.371,262.159
1.224,88.645,265.314
1.223,106.44,262.127
1.201,132.111,275.208
1.146,125.247,274.587
0.817,126.583,250.721
0.742,130.701,248.877
0.724,140.809,254.177
0.697,141.006,260.703
0.655,150.842,267.124
0.841,163.258,270.94
0.82,147.337,252.783
0.774,144.084,244.803
0.782,152.855,272.91
0.695,154.997,264.668
0.575,154.708,297.005
0.498,147.726,283.069
0.66,133.741,288.208
0.755,131.035,284.788
0.763,141.215,282.368
0.774,140.175,298.276
0.802,152.503,295.642
0.882,169.138,294.179
0.858,152.437,270.408
1.149,145.483,274.759
1.642,148.805,268.948
1.828,169.858,270.254
1.916,186.759,282.112
1.912,190.712,264.666
2.129,194.643,262.119
1.724,213.919,257.902
1.675,210.574,251.704
1.976,205.921,247.402
2.065,208.99,262.525
1.861,212.378,267.427
1.717,201.576,267.591
1.92,211.302,296.057
1.964,197.802,333.839
1.957,191.957,320.83
1.928,191.013,346.276
1.845,174.55,316.442
1.513,152.252,276.938
1.26,166.076,291.509
1.189,148.54,300.453
1.926,162.397,335.714
1.747,145.407,343.387
1.962,155.978,352.156
2.011,131.118,342.75
1.419,114.354,300.435
1.658,115.312,304.751
1.082,122.442,287.687
0.83,124.916,308.891
0.583,119.371,303.507
0.576,140.467,318.882
0.522,148.483,300.856
0.41,144.402,275.921
0.445,152.481,261.811
0.565,152.174,283.793
0.8,167.993,291.398
0.816,171.769,292.606
0.83,153.296,268.832
1.144,166.751,273.785
0.957,158.493,267.498
1.154,148.525,270.83
1.412,173.393,280.115
1.765,202.776,300.448
1.985,209.565,293.297
2.134,211.097,275.71
1.994,211.726,267.097
1.941,208.334,262.096
2.109,208.382,263.51
2.174,215.947,273.82
1.662,207.953,264.703
1.648,213.981,262.081
1.695,205.853,255.788
1.272,205.213,253.744
1.238,218.092,259.186
0.952,214.843,258.628
0.837,217.622,266.248
0.793,210.086,265.459
0.755,209.903,279.702
0.763,198.151,288.673
0.523,191.153,282.669
0.449,186.824,286.907
0.425,182.832,312.768
0.35,177.465,307.078
0.365,183.731,319.636
0.392,174.856,336.106
0.457,174.608,325.787
0.57,171.043,325.338
0.799,169.323,300.906
0.822,168.614,290.444
0.978,159.495,300.449
1.303,168.886,275.177
1.528,178.393,279.492
1.423,184.415,295.69
1.133,194.592,313.059
1.014,206.676,300.914
0.876,216.551,331.533
0.876,216.26,308.191
0.86,223.907,343.531
1.082,232.801,365.633
0.78,238.018,369.509
0.716,260.183,378.726
0.84,257.134,372.649
0.746,238.735,362.862
0.705,227.06,365.345
0.873,224.354,363.035
0.636,219.519,362.891
0.69,213.525,351.857
0.631,219.961,354.404
0.732,217.002,329.733
0.807,218.311,299.688
0.676,216.32,288.017
0.72,208.025,300.685
0.817,197.658,308.997
0.84,184.344,289.535
0.821,175.107,272
0.836,169.404,274.573
0.947,148.546,285.279
1.247,138.469,283.472
1.157,110.125,273.984
1.221,114.781,263.28
1.177,130.296,269.68
1,145.443,255.179
1.07,155.942,253.031
0.932,163.035,245.227
0.988,167.763,227.86
0.947,184.244,223.981
1.008,187.154,239.146
1.183,192.921,241.759
1.031,207.744,229.546
1.031,205.8,219.3
1.071,200.271,230.54
1.156,187.932,262.613
1.591,187.128,291.356
1.874,152.566,314.251
1.77,134.208,346.068
2.378,103.82,363.433
2.329,86.835,362.643
2.349,68.137,372.081
1.796,64.577,376.561
1.378,56.706,377.365
1.115,62.044,378.88
1.36,84.856,402.425
0.9,96.454,396.318
0.882,107.118,388.64
0.79,117.528,400.502
0.563,111.164,382.526
0.636,124.224,394.733
0.635,134,381.276
0.677,142.997,371.213
0.841,120.395,236.572
1.074,136.186,235.385
1.447,136.338,261.819
1.447,136.796,258.247
2.004,141.348,281.013
1.55,163.153,281.196
1.497,180.998,305.263
1.647,190.518,317.951
1.322,191.86,310.658
1.202,198.089,351.712
1.147,217.527,351.804
0.887,229.868,352.902
0.948,228.479,351.858
0.837,220.238,330.219
0.684,224.361,327.847
0.942,217.266,327.409
0.869,213.897,325.442
0.881,207.21,308.152
0.871,190.939,288.911
0.916,185.663,283.542
1.105,186.978,305.967
1.012,193.632,297.366
1.146,183.381,275.419
0.969,175.64,273.195
1.09,169.763,264.568
1.386,163.172,270.344
1.338,169.099,283.112
1.086,176.408,285.541
0.927,181.487,282.7
0.785,188.879,274.069
0.807,203.097,285.364
0.951,212.593,300.02
1.059,210.458,306.062
0.851,208.188,298.921
1.037,184.788,297.945
1.574,187.218,331.835
1.678,184.795,344.189
1.498,197.654,337.203
1.576,184.398,308.878
1.68,178.348,301.254
1.886,172.529,275.451
1.682,158.274,265.324
1.639,140.161,265.367
1.601,115.73,269.326
1.734,121.983,270.479
1.446,116.817,268.995
1.613,121.892,270.017
1.328,127.24,281.063
1.249,114.095,258.011
1.223,111.641,257.342
1.329,109.281,269.893
1.202,136.178,266.428
1.08,121.4,254.037
0.902,138.29,263.251
0.852,140.555,251.787
0.825,141.586,252.245
0.884,135.804,249.424
0.875,152.057,263.176
0.917,170.386,262.055
1.065,159.598,253.98
0.934,159.338,252.58
0.863,152.066,270.136
0.583,147.008,273.598
0.643,143.393,275.861
0.523,137.819,283.912
0.576,141.145,279.887
0.786,129.556,283.267
0.808,123.778,291.699
0.76,152.94,308.353
0.678,162.741,292.82
0.659,166.057,285.421
0.809,169.274,272.739
0.926,153.451,261.73
1.416,164.709,267.484
1.675,162.111,271.019
1.458,181.038,274.235
1.575,193.551,266.213
1.967,197.655,268.709
1.95,205.395,258.105
1.907,204.075,246.998
2.143,207.982,253.51
2.354,211.262,273.812
1.959,205.784,280.159
1.921,205.488,282.636
1.59,199.87,289.885
1.654,191.41,311.32
1.637,189.606,328.864
1.821,174.227,327.975
1.642,165.286,318.214
1.27,166.881,297.887
1.211,158.83,296.61
1.248,152.694,321.916
1.649,159.736,343.976
1.659,156.728,322.782
1.683,131.776,328.261
1.578,114.817,307.771
1.461,104.676,299.4
1.105,116.628,300.12
1.144,133.821,301.715
0.726,130.914,293.118
0.705,139.856,329.712
0.568,165.718,321.191
0.508,144.123,296.328
0.487,151.783,278.147
0.55,153.65,265.345
0.504,156.294,270.478
0.627,159.619,268.96
0.69,152.343,254.425
0.758,161.992,264.432
1.067,170.187,270.947
0.916,174.829,283.106
1.353,165.714,284.667
1.639,181.135,295.881
2.131,190.103,300.466
1.969,199.38,289.201
1.962,199.081,268.856
1.658,197.931,258.193
1.82,208.194,270.147
2.101,217.29,276.89
2.339,219.989,273.918
2.064,223.373,287.65
1.586,218.362,269.676
1.644,213.331,265.498
1.222,208.816,260.483
1.34,219.709,267.725
0.971,222.002,262.32
0.808,218.69,265.51
0.692,216.788,269.325
0.619,208.723,279.799
0.586,197.824,273.066
0.528,201.566,287.234
0.4,195.843,298.331
0.373,193.467,309.258
0.324,174.888,300.491
0.364,170.104,336.422
0.514,166.784,339.262
0.442,156.379,325.684
0.505,150.917,307.188
0.649,161.178,318.761
1.009,158.676,309.34
1.029,151.128,304.474
0.934,145.02,296.428
1.459,173.953,310.912
1.517,186.909,318.698
1.225,188.159,311.026
0.93,200.22,306.093
0.879,210.564,310.342
1.135,216.988,345.961
0.99,221.94,356.978
0.994,238.611,373.684
0.838,248.958,379.531
0.739,254.896,380.109
0.797,253.346,378.321
0.897,246.36,369.255
0.853,241.138,372.846
0.858,224.3,364.751
0.63,209.033,352.821
0.612,212.587,346.264
0.705,210.968,319.777
0.801,219.384,318.377
0.646,204.729,291.62
0.68,205.96,283.101
0.744,203.275,284.022
0.86,187.379,281.298
0.826,187.191,282.712
0.881,193.156,289.854
0.958,174.4,278.028
0.838,169.521,275.11
0.956,152.614,270.971
1.301,140.664,263.276
1.194,143.127,259.863
0.951,152.466,258.396
0.774,150.487,241.142
0.872,171.292,240.69
0.842,172.096,234.82
0.812,167.914,214.312
1.066,179.133,230.988
1.067,196.281,225.04
1.001,212.009,232.338
0.902,213.099,231.785
0.932,206.524,236.054
0.933,201.777,244.293
1.244,195.325,262.865
1.433,177.938,282.893
1.964,165.838,321.626
1.953,135.423,346.27
2.119,115.596,354.139
2.141,96.21,363.382
2.123,94.078,369.364
1.981,74.589,377.639
1.343,48.863,380.047
0.958,57.749,380.216
0.946,78.593,381.075
0.849,104.195,389.194
0.7,129.619,412.911
0.625,124.499,411.795
0.555,125.516,400.646
0.64,134.19,396.048
0.707,133.233,381.064
0.562,124.657,361.35
0.97,136.884,241.285
1.073,145.592,247.89
1.172,143.402,257.777
1.639,145.572,274.213
1.603,151.428,291.816
1.317,152.918,269.665
1.192,179.405,288.057
1.302,184.599,299.795
1.018,191.144,311.192
1.03,204.347,328.565
0.964,218.083,345.827
0.934,223.282,343.915
1.017,221.312,357.039
1.025,216.986,352.036
1.004,221.243,343.619
0.942,219.743,329.793
0.799,217.001,307.223
0.952,208.961,328.217
0.858,187.16,308.675
0.825,187.189,319.709
0.777,179.284,297.852
0.798,187.318,292.936
1.036,184.163,305.671
1.104,166.726,285.856
1.627,167.661,289.481
1.646,158.775,300.433
1.339,152.253,310.796
1.155,169.48,318.926
0.882,181.253,306.407
0.791,184.095,283.659
0.806,197.568,287.304
0.872,197.73,271.425
0.893,205.624,288.715
1.068,202.98,310.658
1.338,184.349,320.996
1.417,183.777,338.676
1.458,184.932,322.242
2.147,170.999,312.333
2.258,169.874,299.266
2.36,175.626,291.983
1.837,158.997,266.248
1.843,143.141,262.169
1.961,123.44,253.512
1.846,113.799,262.152
1.641,122.912,249.109
1.639,136.106,278.797
1.409,115.335,267.447
1.184,114.735,250.819
1.155,130.284,247.242
1.632,129.717,258.007
1.586,107.329,253.6
1.446,124.988,264.473
1.401,129.285,263.164
0.927,127.653,256.888
0.819,146.907,252.617
1.107,152.396,265.706
1.069,155.356,251.934
0.95,161.426,251.74
1.046,175.192,264.527
0.914,165.532,259.323
0.744,155.392,246.855
0.68,145.186,276.009
0.592,142.601,282.891
0.581,152.408,292.603
0.483,135.527,287.938
0.669,140.177,280.455
0.706,142.695,292.925
0.745,136.998,289.987
0.753,148.466,282.363
0.709,164.917,280.668
0.745,170.734,270.445
0.878,163.322,287.472
0.93,149.402,283.337
1.14,166.754,289.316
1.693,170.37,284.444
1.841,187.377,304.54
1.983,198.449,279.837
1.624,198.082,263.656
2.074,190.733,261.991
1.965,184.314,258.221
1.766,202.703,265.287
2.03,203.499,293.799
1.929,193.511,295.738
1.952,184.787,297.822
1.961,187.216,318.149
1.814,187.131,308.328
2.143,187.094,331.96
1.596,178.999,330.879
1.59,176.46,318.81
1.219,163.162,307.63
1.233,154.378,309.523
1.313,152.056,320.339
1.095,155.847,315.517
1.244,144.771,311.973
1.225,125.716,299.594
1.233,124.749,299.029
1.066,132.154,288.351
0.943,130.095,297.946
0.779,145.983,297.673
0.685,148.356,297.868
0.679,162.869,318.904
0.557,140.716,296.819
0.487,156.339,297.962
0.508,158.825,294.016
0.546,155.205,261.977
0.563,163.433,268.899
0.731,145.542,262.367
0.86,154.35,264.603
0.778,162.424,254.68
0.864,172.247,262.773
0.858,175.36,273.439
1.265,169.623,276.822
1.545,190.366,275.143
1.654,190.866,289.069
1.963,197.575,273.787
1.629,198.101,265.953
1.859,200.754,264.81
1.643,216.622,269.616
2.365,228.082,274.07
2.363,223.391,286.713
2.36,227.22,287.043
1.937,214.939,274.28
1.861,215.084,274.456
1.424,205.763,271.113
1.37,215.003,263.729
